nome_hotel,prezzo_iniziale,prezzo,credito_guadagnato,stanza,città,data,punteggio,stelle,stelle_booking,partner_preferiti,novita,evidenza,numero_recensioni,distanza_centro,genius,offerte,colazione_inclusa,senza_pagamento_anticipato,cancellazione_gratuita,os,username,user_agent_type,TIMESTAMP
Palermo Central B&B,€ 124,€ 76,,Camera Matrimoniale con Bagno Privato Esterno,Palermo,2024-06-15,"10
Punteggio di 10",,,,True,False,6 recensioni,"1,5 km dal centro",False,Offerta a tempo limitato ,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Gran Tour Profumo di Sicilia - B & B,€ 76,€ 69,,Camera Matrimoniale,Palermo,2024-06-15,"7,7
Punteggio di 7,7",,3.0,preferred,False,False,709 recensioni,"0,5 km dal centro",True,,True,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
B&B Alexander-Room and Breakfast,€ 83,€ 75,,Camera Doppia con Letti Singoli con Bagno Privato,Palermo,2024-06-15,"8,5
Punteggio di 8,5",,3.0,preferred_plus,False,False,312 recensioni,"0,6 km dal centro",True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Residenze Chamur- Grattacielo,€ 139,€ 113,Guadagna € 8 di Credito,Camera Matrimoniale Standard,Palermo,2024-06-15,"9,0
Punteggio di 9,0",,4.0,preferred_plus,False,False,325 recensioni,200 m dal centro,True,,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Teatro del Sole Cavour,€ 74,€ 74,,Camera Matrimoniale con Bagno Privato,"Castellammare Vucciria, Palermo",2024-06-15,"8,3
Punteggio di 8,3",,4.0,,False,False,25 recensioni,350 m dal centro,False,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
La Dimora del Massimo,€ 94,€ 94,,Camera Matrimoniale Deluxe,Palermo,2024-06-15,"8,3
Punteggio di 8,3",,4.0,preferred,False,False,621 recensioni,100 m dal centro,False,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Amaranta,€ 69,€ 62,,Camera Matrimoniale con Bagno Privato Esterno,Palermo,2024-06-15,"7,8
Punteggio di 7,8",,3.0,preferred,False,False,669 recensioni,"1,6 km dal centro",True,,False,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Guelio al Massimo Suites&Breakfast,€ 109,€ 99,,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato,"Monte di Pietà, Palermo",2024-06-15,"8,7
Punteggio di 8,7",,3.0,preferred,False,False,426 recensioni,250 m dal centro,True,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Kalatfimi b&b,€ 108,€ 98,,Camera Deluxe Doppia con Letti Singoli,Palermo,2024-06-15,"8,9
Punteggio di 8,9",,3.0,preferred_plus,False,False,218 recensioni,"1,2 km dal centro",True,,False,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Cheap in Center,€ 69,€ 69,,Camera Matrimoniale con Bagno Privato Esterno,"Ruggero Settimo, Palermo",2024-06-15,"8,3
Punteggio di 8,3",,4.0,preferred,False,False,406 recensioni,150 m dal centro,False,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Maximum hub suite&spa,€ 274,€ 138,Guadagna € 10 di Credito,Camera Matrimoniale Deluxe con Vasca,"Ruggero Settimo, Palermo",2024-06-15,"8,9
Punteggio di 8,9",,4.0,preferred_plus,False,False,222 recensioni,"0,7 km dal centro",True,Offerta Vacanze ,True,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Hotel Joli,€ 112,€ 102,,Camera Matrimoniale/Doppia con Letti Singoli,"Ruggero Settimo, Palermo",2024-06-15,"7,7
Punteggio di 7,7",3.0,,preferred,False,False,1.291 recensioni,"0,5 km dal centro",True,,False,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Kala Rooms,€ 124,€ 112,,Camera Tripla con Balcone,"La Kalsa, Palermo",2024-06-15,"9,0
Punteggio di 9,0",,3.0,preferred,False,False,1.041 recensioni,1 km dal centro,True,,True,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Vista sul porto,€ 94,€ 85,,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato,"Borgo vecchio, Palermo",2024-06-15,"8,8
Punteggio di 8,8",,3.0,,False,False,546 recensioni,1 km dal centro,True,,True,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Capo House,€ 77,€ 77,,Appartamento con 1 Camera da Letto,"Monte di Pietà, Palermo",2024-06-15,"10
Punteggio di 10",,3.0,,True,False,1 recensione,500 m dal centro,False,,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
La terrazza del Sole B&B,€ 94,€ 85,,Camera Doppia con Letti Singoli,Palermo,2024-06-15,"9,0
Punteggio di 9,0",,3.0,preferred,False,False,805 recensioni,"1,8 km dal centro",True,,True,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Stupor Mundi Bed and Breakfast,€ 224,€ 101,,Camera Matrimoniale Standard,"Ruggero Settimo, Palermo",2024-06-15,"8,8
Punteggio di 8,8",,3.0,preferred_plus,False,False,335 recensioni,300 m dal centro,True,Offerta Vacanze ,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Vespri Apartments,€ 102,€ 82,Guadagna € 6 di Credito,Appartamentino su 2 Livelli,"La Kalsa, Palermo",2024-06-15,"8,6
Punteggio di 8,6",,4.0,preferred_plus,False,False,157 recensioni,1 km dal centro,True,,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Cannatella's Mansion,€ 76,€ 69,,Camera Deluxe,Palermo,2024-06-15,"7,0
Punteggio di 7,0",,3.0,,False,False,673 recensioni,"0,9 km dal centro",True,,True,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Sicilian Rooms Palermo,€ 193,€ 139,,Camera Matrimoniale Deluxe,"Castellammare Vucciria, Palermo",2024-06-15,"8,0
Punteggio di 8,0",,4.0,preferred_plus,False,False,545 recensioni,200 m dal centro,True,Offerta Vacanze ,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
BeeClaire Guest House,€ 104,€ 94,,Appartamento con 1 Camera da Letto,"Albergaria, Palermo",2024-06-15,"9,2
Punteggio di 9,2",,4.0,preferred,False,False,219 recensioni,"0,8 km dal centro",True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Cartari Apartment,€ 114,€ 103,Guadagna € 7 di Credito,Appartamento con 1 Camera da Letto,"La Kalsa, Palermo",2024-06-15,"8,6
Punteggio di 8,6",,3.0,preferred_plus,False,False,739 recensioni,"0,9 km dal centro",True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Dimora Villareale,€ 74,€ 74,,Camera King con Balcone,"Ruggero Settimo, Palermo",2024-06-15,"7,2
Punteggio di 7,2",,3.0,preferred,False,False,292 recensioni,250 m dal centro,False,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Mama Tita Rooms and Breakfast,€ 126,€ 114,,Camera Matrimoniale/Doppia con Letti Singoli con Balcone,Palermo,2024-06-15,"9,6
Punteggio di 9,6",,4.0,preferred,False,False,476 recensioni,"1,1 km dal centro",True,,True,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Borghi di Belmonte,€ 136,€ 123,,Camera Deluxe,"Ruggero Settimo, Palermo",2024-06-15,"9,2
Punteggio di 9,2",,4.0,preferred,False,False,465 recensioni,350 m dal centro,True,,True,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Albergo Athenaeum,€ 87,€ 87,,Room Assigned on Arrival,Palermo,2024-06-15,"7,9
Punteggio di 7,9",3.0,,preferred,False,False,1.934 recensioni,"1,8 km dal centro",True,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
