nome_hotel,prezzo,stanza,città,data,punteggio,numero_recensioni,distanza_centro,genius,offerte,colazione_inclusa,senza_pagamento_anticipato,cancellazione_gratuita,os,username,user_agent_type,TIMESTAMP
Suk Ballarò House,€ 216,Appartamento con 3 Camere da Letto,"Albergaria, Palermo",2024-03-20,"9,2",17 recensioni,1 km dal centro,True,Offerta a tempo limitato ,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
B&B Addauru,€ 51,Camera Matrimoniale/Doppia con Letti Singoli,"La Kalsa, Palermo",2024-03-20,"8,9",540 recensioni,"1,1 km dal centro",True,,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Cartari Apartment,€ 49,Camera Matrimoniale,"La Kalsa, Palermo",2024-03-20,"8,6",687 recensioni,"0,9 km dal centro",True,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
La Casa del Moro,€ 49,Camera Matrimoniale con Bagno Privato,Palermo,2024-03-20,"8,7",682 recensioni,"0,9 km dal centro",True,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
B&B Angolo83 Palermo centro,€ 67,Camera Matrimoniale Deluxe con Balcone,"La Kalsa, Palermo",2024-03-20,"9,7",495 recensioni,"1,1 km dal centro",True,Offerta Inizio 2024 ,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
ALBA DEL CAPO,€ 60,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato,Palermo,2024-03-20,"8,3",1.083 recensioni,200 m dal centro,True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Ai Bastioni del Massimo,€ 45,Camera Matrimoniale con Bagno in Comune,Palermo,2024-03-20,"9,3",405 recensioni,250 m dal centro,True,,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Old Town Loft - Palermo,€ 45,Appartamento con 1 Camera da Letto,"Monte di Pietà, Palermo",2024-03-20,"8,9",37 recensioni,"0,6 km dal centro",True,Offerta Inizio 2024 ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Afea Art & Rooms,€ 58,Camera Classic Matrimoniale/Doppia con Letti Singoli,"Ruggero Settimo, Palermo",2024-03-20,"8,9",562 recensioni,"0,6 km dal centro",False,Offerta a tempo limitato Booking.com paga ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Due Passi Suite,€ 85,Camera Deluxe,"Ruggero Settimo, Palermo",2024-03-20,"9,0",461 recensioni,300 m dal centro,True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Sammartino suite,€ 54,Camera Tripla,"Ruggero Settimo, Palermo",2024-03-20,"8,4",538 recensioni,"0,9 km dal centro",True,,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Eurostars Centrale Palace Hotel,€ 108,Camera Matrimoniale Standard,"Monte di Pietà, Palermo",2024-03-20,"8,3",3.260 recensioni,"0,7 km dal centro",False,Offerta a tempo limitato ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Colors B&B,€ 85,Camera Matrimoniale,"Monte di Pietà, Palermo",2024-03-20,"9,4",791 recensioni,350 m dal centro,True,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Suite del Ponte Normanno,€ 61,Camera King Standard,Palermo,2024-03-20,"8,9",1.135 recensioni,"1,8 km dal centro",True,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Palermo Politeama rooms,€ 68,Camera Matrimoniale Economy,"Ruggero Settimo, Palermo",2024-03-20,10,5 recensioni,"0,5 km dal centro",True,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Mercure Palermo Centro,€ 94,Camera Matrimoniale Economy,"Ruggero Settimo, Palermo",2024-03-20,"8,2",3.453 recensioni,450 m dal centro,False,,True,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Ai Vicerè,€ 76,Camera Standard con Bagno Privato Esterno,"Ruggero Settimo, Palermo",2024-03-20,"8,9",470 recensioni,150 m dal centro,True,Offerta Inizio 2024 Booking.com paga ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Liolà Palermo,€ 35,Camera Matrimoniale con Bagno in Comune,Palermo,2024-03-20,"8,4",543 recensioni,250 m dal centro,True,Offerta Inizio 2024 ,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
B&B Ammirata,€ 61,Camera King Standard,Palermo,2024-03-20,"8,7",214 recensioni,"1,4 km dal centro",True,Booking.com paga ,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Due Passi,€ 63,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato Esterno,"Ruggero Settimo, Palermo",2024-03-20,"8,9",685 recensioni,400 m dal centro,True,,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Liolà Home Palermo,€ 36,Camera Matrimoniale con Bagno in Comune,Palermo,2024-03-20,"8,6",187 recensioni,250 m dal centro,True,Offerta Inizio 2024 ,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Porta di Castro Boutique Hotel & SPA,€ 112,Camera Matrimoniale Standard,"Albergaria, Palermo",2024-03-20,"8,9",1.368 recensioni,"1,1 km dal centro",True,Booking.com paga ,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Nuovo Cortile Palermo Bed and Breakfast,€ 44,Camera Matrimoniale,Palermo,2024-03-20,"7,9",164 recensioni,350 m dal centro,True,,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Stupor Mundi Bed and Breakfast,€ 71,Camera Matrimoniale Deluxe,"Ruggero Settimo, Palermo",2024-03-20,"8,8",307 recensioni,300 m dal centro,True,Offerta Inizio 2024 Booking.com paga ,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
CELSO 14,€ 69,Camera King,"Monte di Pietà, Palermo",2024-03-20,"9,9",278 recensioni,"0,5 km dal centro",False,,False,True,True,Windows,pantilaura56,desktop,03-03-2024---16:59
B&B Ungheria Ottantaquattro,€ 77,Camera Matrimoniale con Bagno Privato,"Ruggero Settimo, Palermo",2024-03-20,"8,7",258 recensioni,150 m dal centro,True,Booking.com paga ,True,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Marmur Suite,€ 80,Camera Matrimoniale,"Albergaria, Palermo",2024-03-20,"8,7",639 recensioni,1 km dal centro,True,,False,False,True,Windows,pantilaura56,desktop,03-03-2024---16:59
Mamamia al Teatro Biondo,€ 58,Camera Quadrupla con Bagno Privato Esterno,"Castellammare Vucciria, Palermo",2024-03-20,"8,6",924 recensioni,"0,6 km dal centro",True,Offerta Inizio 2024 ,False,False,False,Windows,pantilaura56,desktop,03-03-2024---16:59
