nome_hotel,prezzo,stanza,città,data,punteggio,numero_recensioni,distanza_centro,genius,offerte,colazione_inclusa,senza_pagamento_anticipato,cancellazione_gratuita,os,username,user_agent_type,TIMESTAMP
NH Roma Villa Carpegna,€ 140,,"Aurelio, Roma ",2024-03-20,"8,1", · 2.675 recensioni," 3,6 km dal centro",False,Offerta a tempo limitato ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Sonder San Lorenzo,€ 238,Intero appartamento – 40m²:,"San Lorenzo, Roma ",2024-03-20,"8,7", · 992 recensioni, 3 km dal centro,False,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Flaminio Charme Apartment,€ 125,Intero appartamento – 65m²:,"Villa Borghese/Parioli, Roma ",2024-03-20,10, · 4 recensioni," 2,3 km dal centro",True,Offerta Inizio 2024 ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Julius Caesar 183,€ 81,,"Vaticano Prati, Roma ",2024-03-20,"8,7", · 477 recensioni," 2,6 km dal centro",True,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
romantica guest house,€ 101,,"Vaticano Prati, Roma ",2024-03-20,"8,4", · 506 recensioni," 1,9 km dal centro",True,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
ROMA PARADISO GUEST HOUSE,€ 97,,"Stazione Termini, Roma ",2024-03-20,"9,0", · 31 recensioni," 1,6 km dal centro",False,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Rm guest house 2,€ 67,,"Stazione Termini, Roma ",2024-03-20,"5,2", · 209 recensioni," 1,9 km dal centro",False,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Hotel Giada Roma,€ 74,,"Stazione Termini, Roma ",2024-03-20,"5,6", · 14 recensioni," 1,4 km dal centro",False,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Oscar 2,€ 83,,"Stazione Termini, Roma ",2024-03-20,"7,0", · 688 recensioni," 1,5 km dal centro",False,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Affittacamere da Barby,€ 67,,"Tiburtino, Roma ",2024-03-20,"8,5", · 373 recensioni," 5,3 km dal centro",False,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Fellini,€ 67,,"Appio Latino, Roma ",2024-03-20,"8,7", · 512 recensioni," 8,4 km dal centro",False,,True,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Vanity Hotel Navona,€ 139,,"Piazza Navona, Roma ",2024-03-20,"9,0", · 956 recensioni," 1,1 km dal centro",False,,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
hu Roma Camping In Town,€ 52,Tenda:,"Aurelio, Roma ",2024-03-20,"7,8", · 26.371 recensioni," 6,5 km dal centro",False,,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Hotel Giorgina,€ 107,,"Stazione Termini, Roma ",2024-03-20,"7,4", · 3.102 recensioni," 1,5 km dal centro",True,Prezzo solo su mobile ,True,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Campo Marzio Hotelier,€ 122,,"Spagna, Roma ",2024-03-20,"7,5", · 436 recensioni," 0,9 km dal centro",True,,True,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
The Place Giuliana,€ 85,,"Vaticano Prati, Roma ",2024-03-20,"9,3", · 11 recensioni, 3 km dal centro,False,Offerta a tempo limitato ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Pianeta Roma,€ 85,,"Trionfale, Roma ",2024-03-20,"6,7", · 809 recensioni," 3,2 km dal centro",True,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Flaminio Village Bungalow Park,€ 69,Intero bungalow – 22m²:,"Tor Di Quinto, Roma ",2024-03-20,"7,6", · 5.294 recensioni," 6,7 km dal centro",True,Prezzo solo su mobile ,False,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
All Comfort Astoria Palace,€ 89,,"Nomentano, Roma ",2024-03-20,"8,5", · 742 recensioni," 2,7 km dal centro",True,,True,False,True,Android,sunnytraveler,mobile,03-03-2024---13:49
Vertex Hotel,€ 81,,"Stazione Termini, Roma ",2024-03-20,"5,5", · 542 recensioni," 1,5 km dal centro",False,Prezzo solo su mobile ,False,True,True,Android,sunnytraveler,mobile,03-03-2024---13:49
